Date,Product,Category,Store,Quantity,Price,Total Revenue
2023-03-26,Camera,Home Appliances,Walmart Store 10,4,861,3444
2023-03-27,Mouse,Gadgets,Walmart Store 17,5,781,3905
2023-03-28,Laptop,Electronics,Walmart Store 5,8,1646,13168
2023-03-28,Tablet,Gadgets,Walmart Store 4,4,1718,6872
2023-03-29,Headphones,Home Appliances,Walmart Store 13,7,968,6776
2023-03-30,Printer,Gadgets,Walmart Store 1,2,129,258
2023-03-30,Phone,Home Appliances,Walmart Store 13,4,252,1008
2023-03-31,Monitor,Home Appliances,Walmart Store 9,6,147,882
2023-04-02,Mouse,Home Appliances,Walmart Store 11,16,498,7968
2023-04-02,Tablet,Gadgets,Walmart Store 3,2,748,1496
2023-04-04,Monitor,Electronics,Walmart Store 11,4,140,560
2023-04-05,Camera,Gadgets,Walmart Store 18,8,763,6104
2023-04-05,Headphones,Electronics,Walmart Store 3,7,273,1911
2023-04-06,Camera,Electronics,Walmart Store 10,16,1696,27136
2023-04-07,Monitor,Electronics,Walmart Store 13,1,551,551
2023-04-07,Tablet,Electronics,Walmart Store 7,15,575,8625
2023-04-08,Tablet,Gadgets,Walmart Store 20,18,608,10944
2023-04-08,Laptop,Home Appliances,Walmart Store 8,17,124,2108
2023-04-11,Laptop,Electronics,Walmart Store 1,7,820,5740
2023-04-14,Headphones,Home Appliances,Walmart Store 9,12,1403,16836
2023-04-14,Printer,Gadgets,Walmart Store 17,1,1085,1085
2023-04-14,Headphones,Home Appliances,Walmart Store 17,4,1732,6928
2023-04-14,TV,Electronics,Walmart Store 17,1,726,726
2023-04-14,Phone,Gadgets,Walmart Store 18,17,1943,33031
2023-04-16,Mouse,Gadgets,Walmart Store 7,11,1845,20295
2023-04-19,Camera,Home Appliances,Walmart Store 3,17,1805,30685
2023-04-20,Phone,Electronics,Walmart Store 7,1,317,317
2023-04-21,Keyboard,Electronics,Walmart Store 14,5,1638,8190
2023-04-21,TV,Home Appliances,Walmart Store 8,9,1721,15489
2023-04-22,Tablet,Electronics,Walmart Store 14,10,194,1940
2023-04-23,Keyboard,Electronics,Walmart Store 7,7,282,1974
2023-04-24,Printer,Gadgets,Walmart Store 9,4,573,2292
2023-04-25,Keyboard,Electronics,Walmart Store 17,1,1312,1312
2023-04-25,Phone,Electronics,Walmart Store 10,4,1903,7612
2023-04-27,TV,Gadgets,Walmart Store 10,16,152,2432
2023-04-27,Tablet,Home Appliances,Walmart Store 5,16,375,6000
2023-04-28,Mouse,Gadgets,Walmart Store 4,3,1956,5868
2023-04-28,Laptop,Electronics,Walmart Store 20,13,439,5707
2023-04-29,Printer,Gadgets,Walmart Store 17,5,1442,7210
2023-04-30,Monitor,Electronics,Walmart Store 9,12,1824,21888
2023-04-30,Tablet,Electronics,Walmart Store 16,19,1783,33877
2023-05-02,Laptop,Electronics,Walmart Store 6,10,308,3080
2023-05-03,Mouse,Home Appliances,Walmart Store 14,15,1631,24465
2023-05-05,Keyboard,Gadgets,Walmart Store 20,8,96,768
2023-05-07,Tablet,Electronics,Walmart Store 14,6,766,4596
2023-05-08,Phone,Home Appliances,Walmart Store 6,12,1679,20148
2023-05-08,Camera,Home Appliances,Walmart Store 12,18,565,10170
2023-05-08,Keyboard,Gadgets,Walmart Store 11,16,1554,24864
2023-05-10,Tablet,Home Appliances,Walmart Store 15,12,1138,13656
2023-05-10,TV,Electronics,Walmart Store 8,2,739,1478
2023-05-11,Tablet,Home Appliances,Walmart Store 6,2,96,192
2023-05-12,Keyboard,Home Appliances,Walmart Store 5,4,1222,4888
2023-05-12,Camera,Gadgets,Walmart Store 18,16,1803,28848
2023-05-13,Printer,Electronics,Walmart Store 13,17,1951,33167
2023-05-14,Monitor,Home Appliances,Walmart Store 2,15,1172,17580
2023-05-14,Mouse,Electronics,Walmart Store 8,3,581,1743
2023-05-14,Laptop,Electronics,Walmart Store 2,8,1021,8168
2023-05-16,Tablet,Electronics,Walmart Store 15,7,1324,9268
2023-05-17,Laptop,Gadgets,Walmart Store 3,9,1983,17847
2023-05-17,TV,Gadgets,Walmart Store 16,16,1131,18096
2023-05-21,Headphones,Electronics,Walmart Store 14,5,1718,8590
2023-05-21,TV,Gadgets,Walmart Store 6,14,949,13286
2023-05-23,Mouse,Electronics,Walmart Store 18,18,1488,26784
2023-05-24,TV,Home Appliances,Walmart Store 17,17,1862,31654
2023-05-25,TV,Gadgets,Walmart Store 9,9,1639,14751
2023-05-26,Keyboard,Home Appliances,Walmart Store 3,4,930,3720
2023-05-27,Camera,Home Appliances,Walmart Store 12,2,586,1172
2023-05-28,Printer,Gadgets,Walmart Store 20,4,1825,7300
2023-05-28,Mouse,Electronics,Walmart Store 4,9,876,7884
2023-05-29,Camera,Gadgets,Walmart Store 3,12,968,11616
2023-05-29,Headphones,Gadgets,Walmart Store 12,7,1669,11683
2023-05-30,Printer,Gadgets,Walmart Store 14,6,1925,11550
2023-05-31,Keyboard,Home Appliances,Walmart Store 7,5,175,875
2023-06-01,Mouse,Home Appliances,Walmart Store 15,16,1636,26176
2023-06-02,Mouse,Gadgets,Walmart Store 12,16,1099,17584
2023-06-02,Printer,Electronics,Walmart Store 3,13,1446,18798
2023-06-03,Printer,Home Appliances,Walmart Store 8,13,55,715
2023-06-03,Laptop,Electronics,Walmart Store 4,13,1033,13429
2023-06-03,Laptop,Electronics,Walmart Store 14,3,1495,4485
2023-06-05,TV,Home Appliances,Walmart Store 13,19,118,2242
2023-06-06,Monitor,Electronics,Walmart Store 17,8,747,5976
2023-06-06,Printer,Home Appliances,Walmart Store 6,13,1315,17095
2023-06-06,TV,Electronics,Walmart Store 17,2,1078,2156
2023-06-06,Printer,Gadgets,Walmart Store 1,12,789,9468
2023-06-07,Laptop,Home Appliances,Walmart Store 2,2,326,652
2023-06-07,Laptop,Electronics,Walmart Store 20,14,142,1988
2023-06-08,Tablet,Electronics,Walmart Store 7,17,305,5185
2023-06-10,TV,Gadgets,Walmart Store 16,10,1547,15470
2023-06-10,Headphones,Home Appliances,Walmart Store 6,16,233,3728
2023-06-11,TV,Home Appliances,Walmart Store 3,11,156,1716
2023-06-14,Camera,Gadgets,Walmart Store 5,15,107,1605
2023-06-14,Laptop,Home Appliances,Walmart Store 11,15,1956,29340
2023-06-14,Headphones,Electronics,Walmart Store 11,15,1465,21975
2023-06-15,Tablet,Electronics,Walmart Store 5,1,1119,1119
2023-06-17,Laptop,Electronics,Walmart Store 10,11,189,2079
2023-06-20,Phone,Electronics,Walmart Store 7,19,1531,29089
2023-06-22,Mouse,Electronics,Walmart Store 3,17,1878,31926
2023-06-22,Laptop,Home Appliances,Walmart Store 2,12,423,5076
2023-06-24,Laptop,Gadgets,Walmart Store 6,10,1478,14780
2023-06-26,Phone,Home Appliances,Walmart Store 16,19,92,1748
2023-06-26,Printer,Gadgets,Walmart Store 8,12,1474,17688
2023-06-27,Monitor,Home Appliances,Walmart Store 10,7,1330,9310
2023-06-28,Monitor,Gadgets,Walmart Store 11,15,1475,22125
2023-06-28,Printer,Electronics,Walmart Store 5,1,808,808
2023-06-28,Tablet,Gadgets,Walmart Store 10,1,422,422
2023-06-29,Printer,Gadgets,Walmart Store 10,3,846,2538
2023-06-30,Printer,Electronics,Walmart Store 4,8,221,1768
2023-07-01,Headphones,Electronics,Walmart Store 4,14,1179,16506
2023-07-01,Phone,Home Appliances,Walmart Store 15,18,285,5130
2023-07-01,Camera,Gadgets,Walmart Store 4,17,1088,18496
2023-07-03,Mouse,Gadgets,Walmart Store 8,11,873,9603
2023-07-07,TV,Electronics,Walmart Store 5,4,1467,5868
2023-07-08,Camera,Home Appliances,Walmart Store 19,14,1256,17584
2023-07-09,Phone,Electronics,Walmart Store 8,8,894,7152
2023-07-12,Monitor,Gadgets,Walmart Store 11,6,1992,11952
2023-07-13,TV,Gadgets,Walmart Store 14,18,1586,28548
2023-07-14,Laptop,Electronics,Walmart Store 7,19,672,12768
2023-07-15,TV,Gadgets,Walmart Store 3,1,510,510
2023-07-16,TV,Electronics,Walmart Store 9,12,160,1920
2023-07-17,Monitor,Electronics,Walmart Store 1,17,407,6919
2023-07-17,Mouse,Gadgets,Walmart Store 3,17,949,16133
2023-07-19,Laptop,Gadgets,Walmart Store 11,9,560,5040
2023-07-20,Phone,Gadgets,Walmart Store 15,18,592,10656
2023-07-21,Monitor,Gadgets,Walmart Store 10,10,711,7110
2023-07-21,Camera,Gadgets,Walmart Store 10,3,627,1881
2023-07-28,Keyboard,Gadgets,Walmart Store 3,10,399,3990
2023-07-28,Camera,Electronics,Walmart Store 8,11,892,9812
2023-07-29,Monitor,Electronics,Walmart Store 17,18,484,8712
2023-07-29,Laptop,Home Appliances,Walmart Store 20,17,1510,25670
2023-07-30,Camera,Electronics,Walmart Store 17,10,1937,19370
2023-08-01,Phone,Electronics,Walmart Store 7,8,183,1464
2023-08-02,Monitor,Gadgets,Walmart Store 19,19,203,3857
2023-08-03,TV,Home Appliances,Walmart Store 19,1,949,949
2023-08-03,Tablet,Electronics,Walmart Store 7,4,673,2692
2023-08-03,Phone,Home Appliances,Walmart Store 12,16,53,848
2023-08-04,Monitor,Electronics,Walmart Store 5,13,499,6487
2023-08-06,Camera,Gadgets,Walmart Store 8,17,1936,32912
2023-08-07,Headphones,Home Appliances,Walmart Store 18,11,162,1782
2023-08-10,TV,Home Appliances,Walmart Store 2,11,741,8151
2023-08-10,Printer,Electronics,Walmart Store 16,13,395,5135
2023-08-11,Camera,Home Appliances,Walmart Store 7,12,534,6408
2023-08-12,Mouse,Gadgets,Walmart Store 15,13,1423,18499
2023-08-12,Tablet,Electronics,Walmart Store 12,17,1593,27081
2023-08-13,Printer,Home Appliances,Walmart Store 20,15,1959,29385
2023-08-14,Phone,Home Appliances,Walmart Store 14,13,1393,18109
2023-08-16,Headphones,Electronics,Walmart Store 19,5,1888,9440
2023-08-17,Printer,Electronics,Walmart Store 5,9,1482,13338
2023-08-17,Keyboard,Electronics,Walmart Store 4,12,1459,17508
2023-08-19,Headphones,Home Appliances,Walmart Store 19,16,781,12496
2023-08-22,Camera,Gadgets,Walmart Store 4,1,1543,1543
2023-08-23,Monitor,Gadgets,Walmart Store 20,5,597,2985
2023-08-24,Mouse,Electronics,Walmart Store 3,2,1524,3048
2023-08-25,Laptop,Electronics,Walmart Store 12,12,139,1668
2023-08-25,Keyboard,Home Appliances,Walmart Store 4,3,808,2424
2023-08-25,TV,Electronics,Walmart Store 13,6,935,5610
2023-08-27,Tablet,Electronics,Walmart Store 20,9,1289,11601
2023-08-31,TV,Electronics,Walmart Store 4,1,226,226
2023-09-01,Phone,Electronics,Walmart Store 16,8,855,6840
2023-09-03,Printer,Home Appliances,Walmart Store 8,17,1113,18921
2023-09-04,Monitor,Gadgets,Walmart Store 7,8,768,6144
2023-09-06,Phone,Home Appliances,Walmart Store 12,5,127,635
2023-09-08,Camera,Home Appliances,Walmart Store 19,4,591,2364
2023-09-11,Headphones,Home Appliances,Walmart Store 8,1,738,738
2023-09-11,Laptop,Electronics,Walmart Store 19,3,1797,5391
2023-09-12,Headphones,Home Appliances,Walmart Store 6,19,575,10925
2023-09-13,Printer,Electronics,Walmart Store 17,10,1591,15910
2023-09-14,Tablet,Home Appliances,Walmart Store 11,1,487,487
2023-09-14,Printer,Gadgets,Walmart Store 16,11,731,8041
2023-09-14,Laptop,Home Appliances,Walmart Store 13,5,1985,9925
2023-09-18,Headphones,Electronics,Walmart Store 16,19,926,17594
2023-09-18,Laptop,Electronics,Walmart Store 9,1,1627,1627
2023-09-20,Keyboard,Home Appliances,Walmart Store 15,5,135,675
2023-09-21,TV,Gadgets,Walmart Store 13,12,1996,23952
2023-09-21,Camera,Electronics,Walmart Store 10,8,932,7456
2023-09-22,Printer,Home Appliances,Walmart Store 19,11,1488,16368
2023-09-23,Phone,Electronics,Walmart Store 13,17,263,4471
2023-09-24,Keyboard,Electronics,Walmart Store 12,7,299,2093
2023-09-24,Camera,Home Appliances,Walmart Store 11,13,370,4810
2023-09-24,Mouse,Electronics,Walmart Store 7,14,1581,22134
2023-09-25,Laptop,Home Appliances,Walmart Store 6,15,50,750
2023-09-27,Phone,Electronics,Walmart Store 20,2,873,1746
2023-09-30,TV,Gadgets,Walmart Store 19,15,1325,19875
2023-10-05,Tablet,Gadgets,Walmart Store 15,7,278,1946
2023-10-07,Laptop,Home Appliances,Walmart Store 16,17,1362,23154
2023-10-08,Phone,Gadgets,Walmart Store 14,16,948,15168
2023-10-09,TV,Electronics,Walmart Store 9,3,1355,4065
2023-10-09,Printer,Home Appliances,Walmart Store 19,1,1241,1241
2023-10-10,Monitor,Electronics,Walmart Store 18,6,1290,7740
2023-10-12,Laptop,Electronics,Walmart Store 7,19,1403,26657
2023-10-12,Laptop,Home Appliances,Walmart Store 17,18,721,12978
2023-10-12,Laptop,Gadgets,Walmart Store 3,13,1653,21489
2023-10-13,Laptop,Electronics,Walmart Store 7,7,983,6881
2023-10-13,Printer,Electronics,Walmart Store 1,2,1476,2952
2023-10-14,Phone,Gadgets,Walmart Store 11,1,930,930
2023-10-14,Tablet,Electronics,Walmart Store 14,5,274,1370
2023-10-15,Camera,Electronics,Walmart Store 17,19,1194,22686
2023-10-15,Laptop,Gadgets,Walmart Store 12,3,412,1236
2023-10-15,Keyboard,Home Appliances,Walmart Store 17,5,853,4265
2023-10-15,Camera,Electronics,Walmart Store 17,16,1514,24224
2023-10-16,Keyboard,Home Appliances,Walmart Store 13,14,978,13692
2023-10-16,Phone,Home Appliances,Walmart Store 15,12,1389,16668
2023-10-18,Camera,Electronics,Walmart Store 16,1,1076,1076
2023-10-18,Headphones,Gadgets,Walmart Store 14,12,1190,14280
2023-10-18,Phone,Gadgets,Walmart Store 2,11,813,8943
2023-10-19,Keyboard,Electronics,Walmart Store 14,9,902,8118
2023-10-19,Mouse,Gadgets,Walmart Store 6,16,947,15152
2023-10-20,Laptop,Electronics,Walmart Store 7,1,474,474
2023-10-20,Keyboard,Electronics,Walmart Store 14,5,100,500
2023-10-20,Camera,Electronics,Walmart Store 1,13,1920,24960
2023-10-21,Monitor,Home Appliances,Walmart Store 4,3,847,2541
2023-10-21,Phone,Home Appliances,Walmart Store 15,19,1667,31673
2023-10-22,Printer,Electronics,Walmart Store 4,10,1300,13000
2023-10-23,Phone,Home Appliances,Walmart Store 18,19,1145,21755
2023-10-23,Keyboard,Home Appliances,Walmart Store 17,5,1434,7170
2023-10-23,Keyboard,Electronics,Walmart Store 14,4,1392,5568
2023-10-23,Headphones,Electronics,Walmart Store 5,12,1302,15624
2023-10-24,Camera,Electronics,Walmart Store 15,3,1624,4872
2023-10-26,Keyboard,Electronics,Walmart Store 9,7,112,784
2023-10-29,Monitor,Home Appliances,Walmart Store 13,16,1581,25296
2023-10-29,Headphones,Home Appliances,Walmart Store 5,8,167,1336
2023-10-29,Tablet,Electronics,Walmart Store 8,7,567,3969
2023-10-30,TV,Gadgets,Walmart Store 19,4,758,3032
2023-10-30,Printer,Home Appliances,Walmart Store 15,17,454,7718
2023-10-30,Keyboard,Home Appliances,Walmart Store 12,17,1219,20723
2023-11-01,Camera,Electronics,Walmart Store 15,3,1931,5793
2023-11-01,Tablet,Gadgets,Walmart Store 15,15,110,1650
2023-11-03,Tablet,Electronics,Walmart Store 5,19,1723,32737
2023-11-05,Mouse,Gadgets,Walmart Store 8,9,902,8118
2023-11-05,Tablet,Home Appliances,Walmart Store 2,9,703,6327
2023-11-05,Mouse,Gadgets,Walmart Store 13,9,1020,9180
2023-11-06,Phone,Home Appliances,Walmart Store 5,5,59,295
2023-11-07,Keyboard,Gadgets,Walmart Store 6,16,77,1232
2023-11-09,Headphones,Gadgets,Walmart Store 7,3,1765,5295
2023-11-09,Laptop,Gadgets,Walmart Store 15,3,1039,3117
2023-11-09,Keyboard,Home Appliances,Walmart Store 16,14,773,10822
2023-11-09,Headphones,Electronics,Walmart Store 11,16,484,7744
2023-11-12,Mouse,Gadgets,Walmart Store 3,1,763,763
2023-11-12,Phone,Home Appliances,Walmart Store 3,15,978,14670
2023-11-14,Mouse,Home Appliances,Walmart Store 1,3,1268,3804
2023-11-14,Monitor,Home Appliances,Walmart Store 19,12,88,1056
2023-11-15,Keyboard,Gadgets,Walmart Store 10,16,812,12992
2023-11-15,Tablet,Electronics,Walmart Store 10,14,1151,16114
2023-11-16,Keyboard,Home Appliances,Walmart Store 5,19,1074,20406
2023-11-16,TV,Home Appliances,Walmart Store 20,7,239,1673
2023-11-17,TV,Electronics,Walmart Store 4,15,1326,19890
2023-11-18,Laptop,Home Appliances,Walmart Store 5,14,801,11214
2023-11-19,Laptop,Home Appliances,Walmart Store 18,16,352,5632
2023-11-20,Phone,Home Appliances,Walmart Store 8,13,1065,13845
2023-11-20,Camera,Gadgets,Walmart Store 18,11,506,5566
2023-11-22,Monitor,Home Appliances,Walmart Store 20,17,167,2839
2023-11-23,Tablet,Electronics,Walmart Store 19,9,1447,13023
2023-11-24,Monitor,Electronics,Walmart Store 6,4,1264,5056
2023-11-24,Monitor,Gadgets,Walmart Store 9,17,523,8891
2023-11-24,Phone,Electronics,Walmart Store 8,2,734,1468
2023-11-24,TV,Gadgets,Walmart Store 13,2,1749,3498
2023-11-25,Tablet,Electronics,Walmart Store 2,7,1143,8001
2023-11-26,Monitor,Gadgets,Walmart Store 20,1,1304,1304
2023-11-26,Laptop,Home Appliances,Walmart Store 4,15,1620,24300
2023-11-26,Camera,Electronics,Walmart Store 2,19,1534,29146
2023-11-28,Monitor,Home Appliances,Walmart Store 9,6,1874,11244
2023-11-30,Tablet,Gadgets,Walmart Store 14,12,702,8424
2023-12-03,Monitor,Home Appliances,Walmart Store 14,1,254,254
2023-12-05,Phone,Electronics,Walmart Store 2,14,734,10276
2023-12-07,Mouse,Home Appliances,Walmart Store 7,9,553,4977
2023-12-08,Laptop,Home Appliances,Walmart Store 9,13,1191,15483
2023-12-08,Keyboard,Electronics,Walmart Store 2,17,160,2720
2023-12-08,Printer,Home Appliances,Walmart Store 5,18,1814,32652
2023-12-10,Mouse,Gadgets,Walmart Store 5,1,187,187
2023-12-12,Monitor,Home Appliances,Walmart Store 19,8,1379,11032
2023-12-12,Tablet,Home Appliances,Walmart Store 17,12,872,10464
2023-12-13,TV,Electronics,Walmart Store 2,2,298,596
2023-12-15,Keyboard,Electronics,Walmart Store 4,18,554,9972
2023-12-15,Monitor,Gadgets,Walmart Store 4,6,674,4044
2023-12-19,Keyboard,Electronics,Walmart Store 2,8,1378,11024
2023-12-19,Printer,Home Appliances,Walmart Store 11,10,1326,13260
2023-12-21,Camera,Electronics,Walmart Store 1,2,364,728
2023-12-22,Headphones,Gadgets,Walmart Store 9,6,1158,6948
2023-12-22,Phone,Gadgets,Walmart Store 18,12,623,7476
2023-12-25,Headphones,Electronics,Walmart Store 13,2,298,596
2023-12-25,Mouse,Home Appliances,Walmart Store 20,4,292,1168
2023-12-26,Tablet,Electronics,Walmart Store 17,6,897,5382
2023-12-26,Printer,Home Appliances,Walmart Store 13,10,1683,16830
2023-12-27,Camera,Electronics,Walmart Store 5,16,1820,29120
2023-12-27,Keyboard,Gadgets,Walmart Store 18,18,1442,25956
2023-12-28,Monitor,Home Appliances,Walmart Store 8,7,1483,10381
2023-12-29,Mouse,Electronics,Walmart Store 16,5,310,1550
2023-12-29,Monitor,Electronics,Walmart Store 18,2,525,1050
2023-12-30,Keyboard,Electronics,Walmart Store 2,3,1450,4350
2023-12-30,Tablet,Home Appliances,Walmart Store 6,1,1069,1069
2023-12-31,Keyboard,Home Appliances,Walmart Store 11,7,1994,13958
2024-01-01,Phone,Electronics,Walmart Store 10,15,399,5985
2024-01-05,Keyboard,Electronics,Walmart Store 20,8,595,4760
2024-01-05,Mouse,Electronics,Walmart Store 6,4,1519,6076
2024-01-06,Headphones,Home Appliances,Walmart Store 1,2,673,1346
2024-01-06,Laptop,Home Appliances,Walmart Store 14,13,62,806
2024-01-06,Laptop,Electronics,Walmart Store 15,7,583,4081
2024-01-08,Phone,Electronics,Walmart Store 19,12,803,9636
2024-01-11,TV,Electronics,Walmart Store 8,6,50,300
2024-01-11,Phone,Electronics,Walmart Store 7,17,1293,21981
2024-01-13,Laptop,Gadgets,Walmart Store 13,9,537,4833
2024-01-13,Tablet,Gadgets,Walmart Store 8,3,222,666
2024-01-14,Headphones,Electronics,Walmart Store 6,17,721,12257
2024-01-14,Camera,Electronics,Walmart Store 13,3,330,990
2024-01-15,Mouse,Gadgets,Walmart Store 14,5,880,4400
2024-01-16,TV,Electronics,Walmart Store 5,19,1598,30362
2024-01-20,Phone,Gadgets,Walmart Store 3,14,1886,26404
2024-01-20,TV,Home Appliances,Walmart Store 19,2,158,316
2024-01-21,TV,Home Appliances,Walmart Store 10,16,1408,22528
2024-01-21,Printer,Home Appliances,Walmart Store 10,1,83,83
2024-01-26,Camera,Electronics,Walmart Store 12,3,908,2724
2024-01-26,Laptop,Electronics,Walmart Store 5,4,57,228
2024-01-26,Laptop,Gadgets,Walmart Store 1,3,717,2151
2024-01-28,Laptop,Home Appliances,Walmart Store 18,6,1873,11238
2024-01-28,Monitor,Home Appliances,Walmart Store 6,12,1355,16260
2024-01-29,Printer,Home Appliances,Walmart Store 16,12,1623,19476
2024-01-31,Tablet,Gadgets,Walmart Store 9,3,758,2274
2024-01-31,Mouse,Home Appliances,Walmart Store 2,12,797,9564
2024-02-01,Printer,Gadgets,Walmart Store 19,7,932,6524
2024-02-02,TV,Home Appliances,Walmart Store 1,5,1704,8520
2024-02-03,Monitor,Gadgets,Walmart Store 5,16,1376,22016
2024-02-03,Phone,Electronics,Walmart Store 19,7,494,3458
2024-02-04,Monitor,Gadgets,Walmart Store 11,5,1579,7895
2024-02-05,Phone,Gadgets,Walmart Store 13,6,1967,11802
2024-02-06,Monitor,Home Appliances,Walmart Store 18,18,813,14634
2024-02-07,Mouse,Electronics,Walmart Store 18,1,1285,1285
2024-02-08,Tablet,Gadgets,Walmart Store 1,18,277,4986
2024-02-09,Keyboard,Electronics,Walmart Store 3,18,1964,35352
2024-02-10,Monitor,Electronics,Walmart Store 7,7,436,3052
2024-02-11,Keyboard,Home Appliances,Walmart Store 13,9,723,6507
2024-02-12,Camera,Home Appliances,Walmart Store 2,19,925,17575
2024-02-14,TV,Gadgets,Walmart Store 10,18,1902,34236
2024-02-14,Phone,Gadgets,Walmart Store 3,7,188,1316
2024-02-15,Laptop,Gadgets,Walmart Store 18,11,195,2145
2024-02-15,Monitor,Electronics,Walmart Store 5,5,918,4590
2024-02-15,Tablet,Home Appliances,Walmart Store 11,5,1218,6090
